Date,MKS.L,SBRY.L,TSCO.L
1/19/2021,132.6428528,194.6706238,216.5680695
1/20/2021,135.899704,196.3051453,216.7470856
1/21/2021,140.9330292,200.2279816,216.5680695
1/22/2021,141.1797791,201.0452271,216.3892059
1/25/2021,139.7980652,203.5787506,218.0888824
1/26/2021,141.6732483,205.3766937,217.7310181
1/27/2021,146.0650482,206.6842957,219.0728302
1/28/2021,145.1768341,205.1315002,217.8204956
1/29/2021,139.6993713,199.7376099,214.152832
2/1/2021,138.1696472,198.0213776,217.7310181
2/2/2021,136.6892395,194.9158173,218.9833527
2/3/2021,137.3800964,194.6706238,220.4146881
2/4/2021,137.0840149,191.8919525,218.8044586
2/5/2021,136.5412292,192.7909393,220.4146881
2/8/2021,132.4454803,191.1564178,218.0888824
2/9/2021,132.8895721,190.9112701,220.1462555
2/10/2021,129.6327362,190.3391724,220.7724762
2/11/2021,127.7575684,188.2143097,218.7149963
2/12/2021,128.645813,187.2336121,215.2263031
2/15/2021,137.0840149,191.5650635,207.1882172
2/16/2021,136.393158,188.4594879,205.4075928
2/17/2021,133.0376282,189.2767334,201.5071716
2/18/2021,131.3105011,187.723938,195.8685455
2/19/2021,136.2944794,188.7046356,192.9856262
2/22/2021,137.5281525,185.4356232,189.1699982
2/23/2021,142.1173401,187.2336121,190.3570862
2/24/2021,143.8938141,187.397049,193.1552124
2/25/2021,144.3872833,187.5604706,192.6464691
2/26/2021,140.0447998,184.8635406,190.6114349
3/1/2021,143.4003448,183.2290344,188.746048
3/2/2021,143.3509979,180.8589935,188.5764465
3/3/2021,146.5091553,182.1665802,188.0677185
3/4/2021,147.0519867,182.1665802,185.9479523
3/5/2021,143.5483856,187.723938,189.9331055
3/8/2021,147.1013184,184.8635406,186.3718872
3/9/2021,151.986618,188.6229248,187.5589447
3/10/2021,154.7006531,192.382309,188.4068909
3/11/2021,154.0591583,191.9736938,186.5414734
3/12/2021,156.0330048,193.1178589,189.7635498
3/15/2021,156.5264587,192.6274872,188.491684
3/16/2021,156.8718872,198.266571,191.8833618
3/17/2021,156.1810455,195.8964996,191.374588
3/18/2021,153.6150208,196.9589386,191.7137451
3/19/2021,153.1215668,200.0645447,193.9183197
3/22/2021,150.8516388,198.5934448,194.6814575
3/23/2021,146.9532776,199.0021057,194.5118713
3/24/2021,148.1869354,198.266571,194.172699
3/25/2021,146.4104767,198.4300079,193.0704193
3/26/2021,151.8385773,200.4731445,193.8335419
3/29/2021,151.0490265,200.5548706,193.5791626
3/30/2021,152.5787811,199.7376099,194.9358215
3/31/2021,148.8777924,198.1848297,194.0455017
4/1/2021,150.4075165,194.9975433,193.2823944
4/6/2021,150.6542511,197.7762146,193.6639557
4/7/2021,155.0954132,199.4924316,196.165329
4/8/2021,154.2071838,199.9828033,199.9809265
4/9/2021,154.8486786,200.718338,198.7514343
4/12/2021,152.8255005,200.3097229,196.7164459
4/13/2021,155.1447601,198.4300079,196.8012238
4/14/2021,155.0954132,196.7954865,192.8160553
4/15/2021,152.7267914,199.8193512,190.3146973
4/16/2021,154.4539185,203.2518311,196.5892792
4/19/2021,159.9807129,208.155365,198.8362427
4/20/2021,151.9372559,203.0883636,192.4768677
4/21/2021,152.4307098,203.9873657,192.6464691
4/22/2021,155.9836731,203.2518311,191.5865631
4/23/2021,155.7369232,197.9396667,188.7036743
4/26/2021,156.5758057,198.6752014,188.5764465
4/27/2021,156.9212341,197.8579559,187.7709503
4/28/2021,156.6251526,192.0554199,186.2870941
4/29/2021,156.4277649,192.382309,186.456665
4/30/2021,155.9342957,194.2620239,187.3893738
5/4/2021,154.2565308,194.9975433,188.2796783
5/5/2021,154.9473724,201.0452271,190.5266724
5/6/2021,154.4045715,201.29039,191.5441589
5/7/2021,157.2666779,205.2949524,192.9008026
5/10/2021,160.8195953,209.2995605,195.0206146
5/11/2021,153.7137146,207.5015564,189.6787415
5/12/2021,150.5555725,211.9147339,192.7736664
5/13/2021,149.3219147,211.8330536,192.8160553
5/14/2021,155.243454,211.6695709,195.8261414
5/17/2021,154.0591583,216.1644897,196.9284363
5/18/2021,154.10849,215.7558594,196.546875
5/19/2021,152.0853119,214.7751312,196.546875
5/20/2021,152.1346436,214.7751312,197.0690155
5/21/2021,150.7529449,216.2462158,196.4163361
5/24/2021,154.75,215.9193268,197.1995544
5/25/2021,153.9111023,216.8999939,196.1117554
5/26/2021,166.9878845,215.102066,195.9812164
5/27/2021,168.8630524,217.3904114,194.9369049
5/28/2021,163.2375488,217.0634766,194.2842102
6/1/2021,157.7107697,218.943161,195.7636414
6/2/2021,160.5235138,218.943161,196.2422791
6/3/2021,157.7601318,220.4959717,196.4163361
6/4/2021,155.3914948,216.8999939,195.8071442
6/7/2021,158.7963715,215.2655182,196.3293152
6/8/2021,162.1026001,215.4289856,196.894989
6/9/2021,157.2173004,214.2030792,197.1560669
6/10/2021,155.3914948,213.866684,198.417923
6/11/2021,156.5758057,212.1846924,201.5508423
6/14/2021,154.9473724,213.446167,201.6813812
6/15/2021,153.9111023,213.446167,201.0286865
6/16/2021,152.8255005,215.9691772,200.2889557
6/17/2021,152.4307098,218.0716705,201.1591949
6/18/2021,146.6572113,218.7444916,192.9788361
6/21/2021,150.7529449,227.1545258,196.3293152
6/22/2021,150.7529449,226.9862976,195.1109314
6/23/2021,151.7892303,226.8181152,194.0666656
6/24/2021,150.7529449,229.1729126,194.3712463
6/25/2021,151.4931335,228.5001221,195.3720245
6/28/2021,148.5817108,227.0704193,194.8933868
6/29/2021,147.6441345,226.0611725,193.9361115
6/30/2021,144.5353088,228.5841827,194.0231171
7/1/2021,150.1607819,228.9206238,194.1536713
7/2/2021,150.6542511,228.7523956,195.4590454
7/5/2021,155.0460815,233.9666138,201.4638062
7/6/2021,151.9372559,235.3122101,203.8570251
7/7/2021,150.5555725,240.0218353,206.6418304
7/8/2021,145.9170074,238.6761932,203.8570251
7/9/2021,146.3611298,239.0126038,206.859375
7/12/2021,145.5715942,238.2556915,205.3799591
7/13/2021,145.6702881,238.003418,206.2066956
7/14/2021,143.2029572,237.8352356,205.0753479
7/15/2021,135.7023163,239.433136,202.7256927
7/16/2021,136.4918518,239.2649078,204.4226532
7/19/2021,130.5703278,236.4055481,201.2027283
7/20/2021,129.8301086,234.1348267,199.8538361
7/21/2021,136.7879333,235.2281342,201.2897644
7/22/2021,136.2944794,236.0691528,201.724884
7/23/2021,138.5644073,234.723526,203.900528
7/26/2021,140.7850037,235.1439972,202.2470398
7/27/2021,139.3539429,236.8260193,203.9875336
7/28/2021,139.9954529,236.8260193,202.8997192
7/29/2021,136.2944794,238.9285431,202.9867401
7/30/2021,133.7284698,238.2556915,202.7691803
8/2/2021,135.5542908,239.853653,203.2913361
8/3/2021,135.6529846,245.5724487,204.8577728
8/4/2021,137.182724,242.4607391,203.0737762
8/5/2021,137.8735657,242.2925568,201.7684021
8/6/2021,138.1203003,242.8812103,202.8997192
8/9/2021,138.4657288,244.5632172,203.3348389
8/10/2021,139.2059174,247.1703186,204.0745697
8/11/2021,139.7980652,254.4029541,207.9036713
8/12/2021,144.3872833,255.3280792,209.9052582
8/13/2021,145.078125,254.2347565,211.4282074
8/16/2021,145.1768341,251.0389557,210.6885071
8/17/2021,144.0911865,248.7682495,213.4297943
8/18/2021,143.0549164,244.4791565,213.4733124
8/19/2021,140.8343353,243.2176666,212.3419647
8/20/2021,160.6715546,247.8431702,214.5176239
8/23/2021,161.7571716,285.9405212,218.868866
